Month,Well_ID,Groundwater_Level,Precipitation,Temperature,Evapotranspiration,Pumping_Rate,Land_Use
1,1,10.993428306022466,52.50449005295815,21.391312233313734,21.76064513028,115.2106081640607,Urban
2,1,9.889945230058252,41.41188917749494,25.88410436069699,22.808905485508138,98.27813904777892,Agricultural
3,1,11.627169341588216,52.44595006064568,22.266599577063673,50.49812095785926,58.13654485734785,Natural
4,1,13.540867631325098,60.865960580727766,23.641724448369732,30.006828189574826,78.76267177977775,Urban
5,1,10.186082644145632,50.977201406514084,33.36726045149268,37.82130001531459,92.11759756940488,Natural
6,1,10.341155213223889,50.811833824077645,31.70230525895174,22.091006183324467,52.12318094277659,Agricultural
7,1,14.117276708223189,35.96016624386489,18.502093815362013,22.201470537783614,77.82914025930302,Natural
8,1,12.636487650079756,36.74198164898103,29.148662089395874,40.81984809249942,119.5699101453004,Agricultural
9,1,10.29779083426957,21.94789456400613,29.05698277245796,16.504237884484677,142.8191609286765,Urban
10,1,12.448397607218599,84.99153486373879,19.25868355623691,25.847862320947286,87.41695742024348,Urban
11,1,10.55351832076715,25.122735292174298,29.093888218774303,30.34027411072232,122.69465062948295,Natural
12,1,10.655696099357371,36.141896044081854,32.68965959206277,31.113726018400524,42.57819788237598,Agricultural
13,1,12.166866512747863,35.63185468861605,19.38727596877793,28.209067149838436,119.78353723340834,Agricultural
14,1,7.940487508207811,67.89848753888883,20.412485894928682,33.958197810959234,75.88154755817557,Agricultural
15,1,8.389054293481445,44.101006434159444,30.08830733421751,36.92855755817811,109.22036850123911,Natural
16,1,10.773394180229229,74.95484145347467,26.35747655412824,37.3463754545933,92.56742745280872,Agricultural
17,1,9.918213562057778,36.53018751512263,27.757381376197618,20.141961913321733,139.61242029351502,Agricultural
18,1,12.604785704606462,55.57988324447604,26.702946082002484,27.158449020712027,73.76693054980245,Agricultural
19,1,10.178941822165687,33.293058934804854,26.95347960464072,41.94762861876938,118.82818892685493,Agricultural
20,1,9.175235422855167,92.90298255546776,18.367639358444585,38.94647187573872,91.614776101104,Natural
21,1,14.922113453346638,26.248031619409744,30.23658853310724,16.271405485189362,95.25083565971009,Natural
22,1,11.516419292774803,56.19641420454055,30.847949962138866,33.514799003522015,94.48438320522371,Agricultural
23,1,12.066525716890848,62.67553761864197,23.85304627965986,10.217747506251897,74.62980686517662,Agricultural
